CLASE;TIEMPO
U_SALIENTES;18,616323
U_SALIENTES;47,138924
U_SALIENTES;53,676933
U_SALIENTES;37,096245
U_SALIENTES;20,141077
U_SALIENTES;20,366293
U_ENTRANTES;53,945621
U_SALIENTES;33,334221
U_ENTRANTES;63,274662
U_SALIENTES;26,267952
U_ENTRANTES;56,903339
U_SALIENTES;38,832932
U_SALIENTES;67,016373
U_SALIENTES;31,953444
U_ENTRANTES;66,731468
U_ENTRANTES;42,573181
U_ENTRANTES;100,998291
U_ENTRANTES;103,665306
U_ENTRANTES;78,199821
U_SALIENTES;21,617359
U_SALIENTES;38,090000
U_SALIENTES;78,477623
U_SALIENTES;36,022480
U_ENTRANTES;57,331955
U_SALIENTES;46,317825
U_SALIENTES;32,586826
U_SALIENTES;43,301579
U_ENTRANTES;70,244972
U_SALIENTES;43,877178
U_ENTRANTES;59,020134
U_ENTRANTES;58,145130
U_ENTRANTES;60,413898
U_SALIENTES;43,121933
U_SALIENTES;16,654875
U_ENTRANTES;53,562260
U_SALIENTES;22,961607
U_ENTRANTES;67,409538
U_ENTRANTES;81,155182
U_SALIENTES;63,837753
U_ENTRANTES;45,762352
U_SALIENTES;15,025939
U_SALIENTES;68,505280
U_SALIENTES;18,730131
U_SALIENTES;30,001013
U_SALIENTES;21,768097
U_SALIENTES;26,188953
U_ENTRANTES;60,107460
U_SALIENTES;32,526424
U_ENTRANTES;98,281715
U_ENTRANTES;96,367424
U_ENTRANTES;52,476738
U_ENTRANTES;43,960972
U_SALIENTES;78,798660
U_ENTRANTES;69,113029
U_SALIENTES;14,829897
U_SALIENTES;49,723679
U_ENTRANTES;86,769890
U_SALIENTES;25,874901
U_ENTRANTES;55,534580
U_ENTRANTES;59,468639
U_SALIENTES;35,778366
U_SALIENTES;49,193062
U_SALIENTES;53,473049
U_SALIENTES;65,281342
U_SALIENTES;59,982441
U_ENTRANTES;67,510712
U_SALIENTES;40,331375
U_SALIENTES;21,695353
U_ENTRANTES;70,050316
U_ENTRANTES;95,786026
U_ENTRANTES;49,201694
U_ENTRANTES;27,625065
U_ENTRANTES;60,270569
U_ENTRANTES;92,372391
U_ENTRANTES;48,945034
U_ENTRANTES;63,100548
U_ENTRANTES;56,267578
U_SALIENTES;23,610357
U_SALIENTES;24,335226
U_SALIENTES;33,395275
U_SALIENTES;23,283083
U_SALIENTES;38,518044
U_SALIENTES;48,502224
U_ENTRANTES;54,044174
U_ENTRANTES;82,311844
U_SALIENTES;19,878315
U_SALIENTES;39,356571
U_ENTRANTES;62,129135
U_SALIENTES;19,173763
U_ENTRANTES;95,538803
U_SALIENTES;43,772411
U_SALIENTES;24,804300
U_SALIENTES;32,807140
U_SALIENTES;46,859890
U_SALIENTES;31,104601
U_ENTRANTES;61,684067
U_ENTRANTES;72,382072
U_ENTRANTES;77,597237
U_SALIENTES;41,190773
U_SALIENTES;17,001362
U_SALIENTES;21,836819
U_SALIENTES;55,217636
U_ENTRANTES;59,541615
U_SALIENTES;33,850639
U_ENTRANTES;73,111107
U_ENTRANTES;93,430145
U_ENTRANTES;86,214241
U_ENTRANTES;47,286057
U_SALIENTES;20,727901
U_SALIENTES;48,300228
U_ENTRANTES;33,073139
U_ENTRANTES;45,927071
U_ENTRANTES;68,143326
U_SALIENTES;53,771423
U_ENTRANTES;56,169384
U_ENTRANTES;42,565910
U_SALIENTES;22,942305
U_ENTRANTES;70,996414
U_ENTRANTES;55,661037
U_SALIENTES;24,113495
U_SALIENTES;68,576874
U_ENTRANTES;53,420097
U_SALIENTES;31,431282
U_SALIENTES;38,981197
U_ENTRANTES;123,403824
U_SALIENTES;36,712723
U_ENTRANTES;63,734764
U_ENTRANTES;69,352798
U_ENTRANTES;71,140045
U_ENTRANTES;109,892250
U_SALIENTES;36,136208
U_SALIENTES;26,120527
U_SALIENTES;19,369047
U_ENTRANTES;85,244026
U_SALIENTES;18,485914
U_ENTRANTES;92,708916
U_ENTRANTES;53,642124
U_ENTRANTES;53,910168
U_SALIENTES;63,142433
U_ENTRANTES;81,302803
OPERARIOS;59,995502
U_ENTRANTES;70,395699
U_ENTRANTES;79,229614
U_SALIENTES;44,521847
U_ENTRANTES;58,900951
U_SALIENTES;26,094501
U_SALIENTES;28,570475
U_ENTRANTES;85,072914
U_SALIENTES;35,715206
U_SALIENTES;49,424644
U_SALIENTES;34,842167
U_SALIENTES;66,199898
U_SALIENTES;39,948349
U_SALIENTES;39,755329
U_ENTRANTES;41,226780
U_SALIENTES;48,536484
U_SALIENTES;40,679161
U_ENTRANTES;71,937248
U_SALIENTES;35,968105
U_SALIENTES;22,026409
U_ENTRANTES;95,624222
U_ENTRANTES;56,336971
U_SALIENTES;56,530193
U_SALIENTES;20,334538
U_ENTRANTES;41,136555
U_SALIENTES;23,182838
U_ENTRANTES;58,550587
U_ENTRANTES;70,012794
U_ENTRANTES;46,659832
U_ENTRANTES;61,402710
U_ENTRANTES;50,416080
U_ENTRANTES;39,632534
U_SALIENTES;24,217588
U_SALIENTES;35,427063
U_ENTRANTES;50,313850
U_SALIENTES;30,165714
U_SALIENTES;55,556633
U_SALIENTES;73,412758
U_ENTRANTES;49,051125
U_ENTRANTES;67,466225
U_ENTRANTES;48,205994
U_ENTRANTES;72,472557
U_ENTRANTES;41,065815
